epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6964,1.51477,2.94305,3.93774,1.19658,0.00745,0.36422,0.06945,0.02699,0.00848,0.41631,0.08595,0.03003,1.18436,2.01658,3.78816,1.01564,0.067205,0.000331263,0.000331263
2,47.7185,1.25298,2.2008,3.70635,1.07499,0.01089,0.56162,0.12969,0.06334,0.01146,0.5958,0.13657,0.07119,1.06748,1.48902,3.50276,0.93597,0.034183,0.000642665,0.000642665
3,70.2959,1.08654,1.75152,3.41391,0.97807,0.46036,0.12475,0.22626,0.14296,0.46267,0.12637,0.2342,0.14405,1.02629,1.28322,3.11344,0.89538,0.00113911,0.000932066,0.000932066
4,94.0484,1.00653,1.57155,2.92283,0.92919,0.57462,0.32293,0.33703,0.21742,0.57218,0.32388,0.34096,0.20916,1.04515,1.29073,2.40193,0.9014,0.000901,0.000901,0.000901
5,117.771,0.95124,1.38448,2.23042,0.91824,0.40204,0.59317,0.48678,0.31223,0.40326,0.58626,0.46577,0.26548,1.01999,1.28736,1.84158,0.90548,0.000868,0.000868,0.000868
6,140.71,0.93992,1.32356,1.67833,0.90335,0.49328,0.67077,0.61136,0.40588,0.48333,0.6601,0.60031,0.34183,0.99329,1.26583,1.41112,0.90719,0.000835,0.000835,0.000835
7,165.191,0.8447,1.23298,1.42179,0.89212,0.63991,0.70692,0.66761,0.45132,0.64332,0.69733,0.65382,0.3843,1.01088,1.25073,1.30418,0.91606,0.000802,0.000802,0.000802
8,189.774,0.81085,1.13901,1.32941,0.88736,0.70034,0.70539,0.71033,0.49049,0.69691,0.70353,0.69759,0.41428,0.98957,1.20936,1.23592,0.90556,0.000769,0.000769,0.000769
9,214.576,0.7859,1.08495,1.21568,0.87194,0.70442,0.75489,0.73846,0.52379,0.7025,0.74072,0.71364,0.42638,0.95771,1.19738,1.15107,0.89297,0.000736,0.000736,0.000736
10,239.803,0.76168,1.09532,1.13799,0.86737,0.73259,0.75985,0.75543,0.54246,0.71771,0.76185,0.7325,0.42742,0.95771,1.18799,1.10113,0.89419,0.000703,0.000703,0.000703
11,262.509,0.74014,1.02628,1.08319,0.86683,0.69518,0.81278,0.76631,0.55114,0.69982,0.79231,0.74458,0.43481,0.94793,1.22306,1.05036,0.88055,0.00067,0.00067,0.00067
12,285.465,0.72011,0.98323,1.04904,0.86305,0.72815,0.81017,0.7752,0.55486,0.74813,0.77289,0.75972,0.46068,0.94768,1.19124,1.01539,0.87514,0.000637,0.000637,0.000637
13,308.829,0.7127,0.96618,1.05299,0.86761,0.75229,0.8052,0.78704,0.56309,0.7681,0.79361,0.77318,0.46787,0.93848,1.18348,0.99465,0.87669,0.000604,0.000604,0.000604
14,332.254,0.68363,0.977,0.99072,0.85356,0.76288,0.8013,0.78631,0.56672,0.76597,0.80197,0.77793,0.46566,0.92506,1.20987,0.98252,0.8736,0.000571,0.000571,0.000571
15,354.77,0.66584,0.93759,0.99464,0.85593,0.771,0.79646,0.79751,0.57345,0.7721,0.79734,0.79215,0.47085,0.9209,1.20992,0.96889,0.87536,0.000538,0.000538,0.000538
16,378.367,0.67144,0.92996,0.93958,0.85553,0.74296,0.81987,0.80558,0.58127,0.7574,0.81463,0.79869,0.47227,0.91572,1.17675,0.95546,0.87284,0.000505,0.000505,0.000505
17,401.745,0.66506,0.92773,0.93504,0.86126,0.79436,0.82197,0.81989,0.59473,0.79628,0.82227,0.80986,0.47734,0.9011,1.19844,0.94052,0.87214,0.000472,0.000472,0.000472
18,425.767,0.66567,0.93505,0.91751,0.84902,0.79683,0.82851,0.83083,0.60638,0.79565,0.82527,0.8171,0.48525,0.88994,1.17336,0.92369,0.87132,0.000439,0.000439,0.000439
19,448.938,0.63958,0.89366,0.91553,0.85707,0.79221,0.81827,0.83857,0.61068,0.79679,0.82029,0.82493,0.49583,0.90606,1.16275,0.9285,0.87579,0.000406,0.000406,0.000406
20,473.315,0.6575,0.89457,0.90949,0.85528,0.82824,0.81878,0.84667,0.61218,0.83395,0.8196,0.83289,0.49746,0.90633,1.16846,0.91948,0.87774,0.000373,0.000373,0.000373
21,502.914,0.65145,0.9451,1.01452,0.83387,0.77819,0.84495,0.85485,0.60769,0.76277,0.82444,0.82992,0.48476,0.89568,1.23695,1.0005,0.8671,0.00034,0.00034,0.00034
22,533.514,0.62908,0.86817,0.97841,0.8294,0.77262,0.86772,0.85835,0.61737,0.76382,0.84931,0.83894,0.4862,0.89053,1.21871,0.94839,0.86218,0.000307,0.000307,0.000307
23,562.622,0.61541,0.84125,0.9443,0.82607,0.78971,0.86402,0.85631,0.6121,0.78792,0.84497,0.84108,0.49297,0.89844,1.19072,0.92605,0.86518,0.000274,0.000274,0.000274
24,592.013,0.62054,0.85051,0.93746,0.82755,0.798,0.85915,0.85287,0.61063,0.78624,0.83782,0.82814,0.48598,0.90492,1.19496,0.9278,0.86776,0.000241,0.000241,0.000241
25,620.117,0.60437,0.86091,0.92793,0.82373,0.78154,0.87023,0.85674,0.6143,0.77593,0.83987,0.83241,0.49621,0.90585,1.18977,0.92231,0.86863,0.000208,0.000208,0.000208
26,650.473,0.5997,0.84346,0.91552,0.82994,0.79367,0.86637,0.86012,0.61847,0.78412,0.852,0.84122,0.50366,0.90134,1.16993,0.92285,0.86652,0.000175,0.000175,0.000175
